#	type	key	freq
1	T	n: rotor	848
2	T	nn: wind turbine	1854
2	V[s]	ann: ari-450 wind turbine	2
2	V[s]+	nnn: vertical-axis wind turbine	6
2	V[s]	nnn: wind turbine rotor	31
2	V[s]	nnn: wind turbine application	86
2	V[s]	nnn: wind turbine sound	71
2	V[s]	nnn: wind turbine blade	48
2	V[s]	ann: offshore wind turbine	47
2	V[s]	nnn: dfig wind turbine	23
2	V[s]+	nnn: wind turbine noise	43
2	V[s]+	nnn: wind turbine concept	37
2	V[s]+	nnn: wind turbine generator	27
2	V[s]	ann: domestic wind turbine	29
2	V[s]	nnn: direct-drive wind turbine	15
2	V[s]	ann: small wind turbine	33
2	V[s]	nnn: mw wind turbine	10
2	V[s]+	nnn: wind turbine technology	28
2	V[s]+	nnn: wind turbine system	32
2	V[s]+	nnn: wind turbine placement	20
2	V[s]	nnn: wind turbine syndrome	21
2	V[s]+	ann: small-scale wind turbine	4
2	V[s]	nnn: wind turbine configuration	11
2	V[s]	ann: modern wind turbine	17
2	V[s]	ann: three-bladed wind turbine	8
2	V[s]	nnn: wind turbine tower	15
2	V[s]	ann: large wind turbine	17
2	V[s]+	nnn: wind turbine design	16
2	V[s]+	ann: smaller-scale wind turbine	2
2	V[s]	nnn: wind turbine operation	14
2	V[s]	nnn: wind turbine performance	14
2	V[s]	nnn: wind turbine component	9
2	V[s]	nnn: wind turbine project	12
2	V[s]	nnn: ari wind turbine	4
2	V[s]	ann: land-based wind turbine	4
2	V[s]	nnn: wind turbine foundation	9
2	V[s]	nnn: wind turbine power	10
2	V[s]	nnn: wind turbine governor	8
2	V[s]	nnn: wind turbine flow	7
2	V[s]	ann: solar wind turbine	3
2	V[s]	ann: commercial wind turbine	7
2	V[s]	ann: individual wind turbine	8
2	V[s]	ann: optimum wind turbine	3
2	V[s]	ann: single wind turbine	7
2	V[s]	ann: grid-connected wind turbine	3
3	T	nn: wind energy	414
3	V[s]+	nnn: wind energy potential	15
3	V[s]	ann: offshore wind energy	47
3	V[s]+	nnn: wind energy development	25
3	V[s]	ann: ge wind energy	7
3	V[s]+	nnn: wind energy conf	5
3	V[s]+	nnn: wind energy facility	14
3	V[s]	nnn: wind energy project	12
3	V[s]	ann: onshore wind energy	6
3	V[s]+	nnn: wind energy technology	6
3	V[s]	nnn: wind energy research	6
3	V[s]	ann: large-scale wind energy	3
3	V[s]	ann: technical wind energy	3
3	V[s]+	nnn: wind energy application	4
3	V[s]	nnn: wind energy resource	4
3	V[s]	nnn: wind energy generation	3
3	V[s]	nnn: wind energy calculation	2
4	T	nn: wind power	278
4	V[s]	nnn: wind turbine power	10
4	V[s]	nnn: wind power plant	74
4	V[s]	nnn: wind power station	24
4	V[s]	ann: offshore wind power	13
4	V[s]	nnn: wind power project	19
4	V[s]	nnn: wind power development	14
4	V[s]	nnn: wind power generation	11
4	V[s]+	nnn: wind power capacity	6
4	V[s]	nnn: wind power penetration	4
4	V[s]	ann: large-scale wind power	2
4	V[s]	nnn: wind power installation	2
5	T	n: airfoil	236
6	T	n: voltage	214
7	T	a: due	185
8	T	nn: wind speed	332
8	V[s]	ann: average wind speed	26
8	V[s]	ann: low wind speed	18
8	V[s]	nnn: cutoff wind speed	4
8	V[s]	ann: relative wind speed	10
8	V[s]	aann: average annual wind speed	10
8	V[s]	nnn: cut-out wind speed	5
8	V[s]	ann: undisturbed wind speed	5
8	V[s]	ann: nominal wind speed	3
8	V[s]	nnn: wind speed cutoff	2
8	V[s]	ann: variable wind speed	3
8	V[s]	aann: annual average wind speed	3
8	V[s]	ann: respective wind speed	2
8	V[s]	nnn: meter wind speed	2
8	V[s]	nnn: wind speed probability	2
8	V[s]	ann: maximum wind speed	2
8	V[s]	nnn: survival wind speed	2
9	T	n: hydrogen	156
10	T	n: natura	144
11	T	n: vortex	132
12	T	n: wecs	116
13	T	n: hub	114
14	T	n: deis	110
15	T	nn: wind generator	105
15	V[s]+	nnn: wind turbine generator	27
15	V[s]	nnn: wind generator system	41
15	V[s]	nnnn: axial-flux pm wind generator	2
15	V[s]	ann: small wind generator	5
16	T	nn: pitch angle	100
16	V[s]	nnpn: pitch angle of 90º	10
16	V[s]	ann: optimal pitch angle	8
16	V[s]	nnn: blade pitch angle	12
16	V[s]	nnpn: pitch angle of 95º	2
17	T	npn: angle of attack	97
17	V[s]	anpn: modified angle of attack	3
17	V[s]	anpn: optimal angle of attack	3
17	V[s]	anpn: low angle of attack	3
17	V[s]	ncnpn: ratio versus angle of attack	2
18	T	nn: blade element	96
18	V[s]	nnn: blade element theory	22
18	V[s]	ann: ith blade element	6
18	V[s]	ann: annular blade element	2
19	T	nn: power coefficient	94
19	V[s]	nnn: design power coefficient	16
19	V[s]	ann: elemental power coefficient	9
19	V[s]	ann: maximum power coefficient	10
19	V[s]	nnpn: power coefficient of rotor	2
19	V[s]	nnn: power coefficient cp	2
19	V[s]	aann: optimum elemental power coefficient	2
19	V[s]	aann: theoretical maximum power coefficient	3
19	V[s]	aann: maximum achievable power coefficient	3
19	V[s]	nnpn: power coefficient of wind	2
19	V[s]	nnn: power coefficient variation	2
20	T	nn: rotor blade	94
20	V[s]	nnn: rotor blade position	17
20	V[s]	nnnn: wind turbine rotor blade	4
20	V[s]+	nnn: rotor blade passage	3
21	T	n: tsr	91
22	T	nn: turbine blade	91
22	V[s]	npnn: blade of wind turbine	5
22	V[s]	nnn: wind turbine blade	48
22	V[s]	nnnn: horizontal-axis wind turbine blade	10
22	V[s]	nnnn: axis wind turbine blade	3
22	V[s]	annn: large wind turbine blade	2
23	T	nnn: wind turbine application	86
24	T	n: annex	83
25	T	nn: turbine sound	80
25	V[s]	nnn: wind turbine sound	71
26	T	nn: farm development	79
26	V[s]	npnn: development of wind farm	4
26	V[s]+	nnn: wind farm development	69
26	V[s]	annn: future wind farm development	3
26	V[s]	nnn: ind farm development	2
27	T	ann: low frequency sound	78
28	T	n: ordinance	77
29	T	nn: blade design	77
29	V[s]	npnn: design of hawt blade	2
29	V[s]	ann: hawt blade design	24
29	V[s]	nnn: sample blade design	9
29	V[s]+	nnn: blade design program	6
29	V[s]	nnn: blade design procedure	6
29	V[s]	nnpn: blade design of hawt	2
30	T	nn: project activity	76
30	V[s]	nnn: cdm project activity	7
31	T	nnn: wind power plant	74
32	T	an: dynamic stall	74
33	T	nn: habitat directive	73
34	T	n: hawt	71
35	T	nnn: wind turbine sound	71
36	T	nn: town board	70
36	V[s]	nnn: sheldon town board	4
37	T	nnn: wind farm development	69
37	V[s]	annn: offshore wind farm development	5
38	T	n: nacelle	69
39	T	nn: wind resource	66
39	V[s]	nnn: wind energy resource	4
39	V[s]	ann: offshore wind resource	17
39	V[s]	nnn: wind resource map	3
39	V[s]	ann: sufficient wind resource	2
40	T	an: small-scale project	60
41	T	nn: emission reduction	60
41	V[s]	nnn: ghg emission reduction	4
41	V[s]	ann: estimated emission reduction	5
41	V[s]	ann: certified emission reduction	2
41	V[s]	nnnn: greenhouse gas emission reduction	3
41	V[s]	nnn: carbon emission reduction	2
42	T	a: solar	60
43	T	n: dowec	60
44	T	n: eia	59
45	T	an: reactive power	58
45	V[s]	acan: active and reactive power	13
45	V[s]	nan: gsc reactive power	2
46	T	n: dfig	57
47	T	a: linear	56
48	T	n: vawt	56
49	T	n: flywheel	54
50	T	annn: vertical axis wind turbine	53
51	T	nn: flow field	52
51	V[s]	nnn: blade flow field	11
51	V[s]	nnnn: turbine blade flow field	4
51	V[s]	nnnn: wind turbine flow field	2
51	V[s]	nnn: flow field structure	5
52	T	n: jepirachi	52
53	T	nn: turbine noise	52
53	V[s]+	nnn: wind turbine noise	43
54	T	nn: mitigation measure	51
54	V[s]	ann: potential mitigation measure	14
55	T	n: inverter	50
56	T	nn: project area	49
57	T	nn: conservation objective	49
57	V[s]	nnpn: conservation objective of natura	5
57	V[s]	nnnn: meeting site conservation objective	2
58	T	n: dba	48
59	T	nnn: wind turbine blade	48
60	T	a: vestibular	48
61	T	n: upme	47
62	T	nn: power production	47
62	V[s]	npan: production of electric power	9
62	V[s]	ann: thermal power production	7
62	V[s]	nnpn: power production of hawt	2
62	V[s]	nnpn: power production of wind	3
62	V[s]	ann: annual power production	2
62	V[s]	ann: maximum power production	2
62	V[s]	nnn: power production capability	2
