#	type	key	pattern	pilot	spec	freq	ind
1	T	n: rotor	N	rotor	4,82	848	0,17
2	T	nn: wind turbine	N N	wind turbine	4,56	1855	0,28
2	V[s]	ann: ari-450 wind turbine	A N N	ARI-450 wind turbine	1,90	2	1,00
2	V[s]+	nnn: vertical-axis wind turbine	N N N	vertical-axis wind turbine	2,37	6	0,50
2	V[s]	nnn: wind turbine rotor	N N N	wind turbine rotor	3,38	31	0,13
2	V[s]	nnn: wind turbine application	N N N	WIND TURBINE APPLICATIONS	3,83	86	0,59
2	V[s]	nnn: wind turbine sound	N N N	WIND TURBINE SOUND	3,74	71	0,87
2	V[s]	nnn: wind turbine blade	N N N	wind turbine blades	3,57	48	0,29
2	V[s]	ann: offshore wind turbine	A N N	offshore wind turbine	3,26	47	0,43
2	V[s]	nnn: dfig wind turbine	N N N	DFIG wind turbine	3,25	23	0,30
2	V[s]+	nnn: wind turbine noise	N N N	wind turbine noise	3,53	43	0,60
2	V[s]+	nnn: wind turbine concept	N N N	wind turbine concepts	3,46	37	0,43
2	V[s]+	nnn: wind turbine generator	N N N	wind turbine generator	3,02	27	0,44
2	V[s]	ann: domestic wind turbine	A N N	Domestic Wind Turbines	3,35	29	0,24
2	V[s]	nnn: direct-drive wind turbine	N N N	direct-drive wind turbines	2,77	15	0,67
2	V[s]	ann: small wind turbine	A N N	small wind turbines	3,41	33	0,61
2	V[s]	nnn: mw wind turbine	N N N	MW wind turbine	2,89	10	0,80
2	V[s]+	nnn: wind turbine technology	N N N	wind turbine technology	3,34	28	0,25
2	V[s]+	nnn: wind turbine system	N N N	wind turbine system	3,40	32	0,19
2	V[s]+	nnn: wind turbine placement	N N N	wind turbine placement	2,89	20	0,55
2	V[s]	nnn: wind turbine syndrome	N N N	wind turbine syndrome	3,21	21	1,00
2	V[s]+	ann: small-scale wind turbine	A N N	small-scale wind turbines	2,50	4	0,25
2	V[s]	nnn: wind turbine configuration	N N N	wind turbine configuration	2,63	11	0,36
2	V[s]	ann: modern wind turbine	A N N	modern wind turbines	2,82	17	1,00
2	V[s]	ann: three-bladed wind turbine	A N N	three-bladed wind turbines	2,80	8	0,63
2	V[s]	nnn: wind turbine tower	N N N	wind turbine tower	3,07	15	0,20
2	V[s]	ann: large wind turbine	A N N	large wind turbines	3,12	17	0,65
2	V[s]+	nnn: wind turbine design	N N N	wind turbine design	2,80	16	0,31
2	V[s]+	ann: smaller-scale wind turbine	A N N	smaller-scale wind turbines	2,20	2	1,00
2	V[s]	nnn: wind turbine operation	N N N	wind turbine operations	3,04	14	0,86
2	V[s]	nnn: wind turbine performance	N N N	wind turbine performance	3,04	14	0,50
2	V[s]	nnn: wind turbine component	N N N	wind turbine component	2,85	9	0,22
2	V[s]	nnn: wind turbine project	N N N	wind turbine project	2,67	12	0,42
2	V[s]	nnn: ari wind turbine	N N N	ARI wind turbine	2,20	4	0,75
2	V[s]	ann: land-based wind turbine	A N N	land-based wind turbines	2,50	4	0,25
2	V[s]	nnn: wind turbine foundation	N N N	wind turbine foundations	2,85	9	0,56
2	V[s]	nnn: wind turbine power	N N N	wind turbine power	2,89	10	0,30
2	V[s]	nnn: wind turbine governor	N N N	Wind turbine governor	2,80	8	0,38
2	V[s]	nnn: wind turbine flow	N N N	wind turbine flow	2,74	7	0,29
2	V[s]	ann: solar wind turbine	A N N	solar wind turbine	2,37	3	0,67
2	V[s]	ann: commercial wind turbine	A N N	commercial wind turbines	2,74	7	0,29
2	V[s]	ann: individual wind turbine	A N N	individual wind turbines	2,80	8	0,75
2	V[s]	ann: optimum wind turbine	A N N	optimum wind turbines	2,37	3	0,67
2	V[s]	ann: single wind turbine	A N N	single wind turbine	2,74	7	1,00
2	V[s]	ann: grid-connected wind turbine	A N N	grid-connected wind turbine	2,37	3	1,00
3	T	nn: wind energy	N N	wind energy	4,51	414	0,21
3	V[s]+	nnn: wind energy potential	N N N	wind energy potential	3,07	15	0,27
3	V[s]	ann: offshore wind energy	A N N	offshore wind energy	3,56	47	0,36
3	V[s]+	nnn: wind energy development	N N N	wind energy development	3,29	25	0,56
3	V[s]	ann: ge wind energy	A N N	GE Wind Energy	2,44	7	0,86
3	V[s]+	nnn: wind energy conf	N N N	Wind Energy Conf	2,59	5	0,40
3	V[s]+	nnn: wind energy facility	N N N	Wind Energy Facility	3,04	14	0,43
3	V[s]	nnn: wind energy project	N N N	wind energy projects	2,97	12	0,42
3	V[s]	ann: onshore wind energy	A N N	onshore wind energy	2,67	6	0,33
3	V[s]+	nnn: wind energy technology	N N N	wind energy technology	2,67	6	0,17
3	V[s]	nnn: wind energy research	N N N	wind energy research	2,67	6	0,33
3	V[s]	ann: large-scale wind energy	A N N	large-scale wind energy	2,37	3	0,67
3	V[s]	ann: technical wind energy	A N N	Technical wind energy	2,37	3	0,67
3	V[s]+	nnn: wind energy application	N N N	wind energy application	2,50	4	0,25
3	V[s]	nnn: wind energy resource	N N N	wind energy resources	2,50	4	0,25
3	V[s]	nnn: wind energy generation	N N N	wind energy generation	2,07	3	0,67
3	V[s]	nnn: wind energy calculation	N N N	wind energy calculations	2,20	2	1,00
4	T	nn: wind power	N N	wind power	4,34	278	0,16
4	V[s]	nnn: wind turbine power	N N N	wind turbine power	2,89	10	0,30
4	V[s]	nnn: wind power plant	N N N	Wind Power Plant	3,76	74	0,23
4	V[s]	nnn: wind power station	N N N	wind power stations	3,27	24	0,33
4	V[s]	ann: offshore wind power	A N N	offshore wind power	3,01	13	0,23
4	V[s]	nnn: wind power project	N N N	Wind Power Project	3,17	19	0,79
4	V[s]	nnn: wind power development	N N N	wind power development	3,04	14	0,50
4	V[s]	nnn: wind power generation	N N N	wind power generation	2,63	11	0,45
4	V[s]+	nnn: wind power capacity	N N N	wind power capacity	2,67	6	0,33
4	V[s]	nnn: wind power penetration	N N N	wind power penetration	2,50	4	0,75
4	V[s]	ann: large-scale wind power	A N N	Large-scale Wind Power	1,90	2	0,50
4	V[s]	nnn: wind power installation	N N N	Wind Power Installation	2,20	2	1,00
5	T	n: airfoil	N	airfoil	4,26	236	0,16
6	T	n: voltage	N	voltage	4,22	214	0,20
7	T	a: due	A	due	4,16	185	0,95
8	T	nn: wind speed	N N	wind speed	4,11	332	0,49
8	V[s]	ann: average wind speed	A N N	average wind speed	3,01	26	0,65
8	V[s]	ann: low wind speed	A N N	low wind speed	3,15	18	0,22
8	V[s]	nnn: cutoff wind speed	N N N	cutoff wind speed	2,20	4	1,00
8	V[s]	ann: relative wind speed	A N N	relative wind speeds	2,89	10	0,80
8	V[s]	aann: average annual wind speed	A A N N	average annual wind speeds	2,89	10	1,00
8	V[s]	nnn: cut-out wind speed	N N N	Cut-out wind speed	2,29	5	0,60
8	V[s]	ann: undisturbed wind speed	A N N	undisturbed wind speed	2,59	5	0,60
8	V[s]	ann: nominal wind speed	A N N	nominal wind speed	2,37	3	0,33
8	V[s]	nnn: wind speed cutoff	N N N	wind speed cutoff	2,20	2	1,00
8	V[s]	ann: variable wind speed	A N N	variable wind speed	2,37	3	0,67
8	V[s]	aann: annual average wind speed	A A N N	annual average wind speed	2,37	3	0,67
8	V[s]	ann: respective wind speed	A N N	respective wind speed	2,20	2	1,00
8	V[s]	nnn: meter wind speed	N N N	meter wind speeds	2,20	2	1,00
8	V[s]	nnn: wind speed probability	N N N	wind speed probability	2,20	2	0,50
8	V[s]	ann: maximum wind speed	A N N	maximum wind speed	2,20	2	1,00
8	V[s]	nnn: survival wind speed	N N N	survival wind speed	2,20	2	1,00
9	T	n: hydrogen	N	hydrogen	4,09	156	0,25
10	T	n: natura	N	Natura	4,05	144	0,74
11	T	n: vortex	N	vortex	4,01	132	0,13
12	T	n: wecs	N	WECS	3,96	116	0,37
13	T	n: hub	N	hub	3,95	114	0,32
14	T	n: deis	N	DEIS	3,93	110	0,90
15	T	nn: wind generator	N N	wind generator	3,91	105	0,31
15	V[s]+	nnn: wind turbine generator	N N N	wind turbine generator	3,02	27	0,44
15	V[s]	nnn: wind generator system	N N N	wind generator systems	3,50	41	0,68
15	V[s]	nnnn: axial-flux pm wind generator	N N N N	Axial-flux PM wind generator	1,90	2	1,00
15	V[s]	ann: small wind generator	A N N	small wind generator	2,59	5	1,00
16	T	nn: pitch angle	N N	pitch angle	3,89	100	0,61
16	V[s]	nnpn: pitch angle of 90º	N N P N	pitch angle of 90º	2,89	10	1,00
16	V[s]	ann: optimal pitch angle	A N N	Optimal pitch angles	2,50	8	1,00
16	V[s]	nnn: blade pitch angle	N N N	blade pitch angle	2,97	12	0,83
16	V[s]	nnpn: pitch angle of 95º	N N P N	pitch angles of 95º	2,20	2	1,00
17	T	npn: angle of attack	N P N	angle of attack	3,88	97	0,43
17	V[s]	anpn: modified angle of attack	A N P N	modified angle of attack	2,37	3	0,33
17	V[s]	anpn: optimal angle of attack	A N P N	optimal angle of attack	2,37	3	0,67
